sample_name,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__xenophagum,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis,Other
12502.6P15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T12,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.0T25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T11,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0.064210526,0,0.002105263,0,0,0,0.114210526,0.81894737
12502.3P14,0.872631579,0.126315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2P20,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.0T13,0.999473684,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0P19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0P17,0,0,0,0.923684211,0,0,0,0,0,0,0.062105263,0,0,0,0.013157895,0,0,0,0,0,0.001052632
12502.0T22,0.956842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.003157895
12502.2P18,0.998947368,0,0,0.000526316,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0
12502.1T13,0.998421053,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T18,0.997894737,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.0P18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T11,0,0.961052632,0.03,0,0.008421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.2T19,0.993157895,0,0.006315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.1T17,0.998947368,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T25,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.000526316
12502.6T23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P23,0.902105263,0.096842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0.000526316
12502.2P13,0.999473684,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T23,0.367894737,0.630526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316
12502.1T21,0.998947368,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.1T15,0.001578947,0,0,0.001052632,0.561052632,0,0,0,0,0,0.002631579,0.000526316,0.003157895,0.026315789,0,0,0,0,0,0,0.403684218
12502.6P11,0.998947368,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.2T15,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0.000526316
12502.3T24,0.998421053,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.0T11,0,0.921578947,0.078421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P24,0.922105263,0.076315789,0,0.000526316,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P22,0.998947368,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P25,0,0.955263158,0,0,0.037894737,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.006315792
12502.3T19,0.955789474,0,0,0.003157895,0,0,0,0,0,0,0,0,0.015263158,0.000526316,0,0,0,0,0,0.002105263,0.023157895
12502.6T15,0.831052632,0.168947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P22,0.999473684,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P21,0,0.994736842,0,0,0.004736843,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0
12502.1P13,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T22,0.672105263,0,0.001052632,0,0.000526316,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0.304736842,0,0,0.020526316
12502.3P16,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.3T16,0.966842105,0.004736842,0,0.001578947,0,0,0,0,0,0,0,0,0.003684211,0,0.000526316,0,0,0,0,0,0.022631581
12502.6P18,0.988947368,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526316
12502.2T11,0,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0.000526316
12502.0T21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0P21,0,0.798421053,0,0,0.000526316,0,0,0,0,0,0,0,0,0.021578948,0.085263158,0.001052632,0,0,0,0.01,0.083157902
12502.1T12,0.998421053,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T21,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.3P25,0.616842105,0.383157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P24,0.884210526,0.115789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P14,0.951578947,0.048421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P19,0.999473684,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0
12502.3P19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0T23,0.911052632,0.088947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T22,0.889473684,0,0.001052632,0,0.004210526,0,0,0,0,0,0,0,0,0,0,0,0,0.095789474,0,0,0.009473684
12502.3T17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T16,0.883157895,0.115263158,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0.000526316,0,0,0
12502.6T14,0.011052632,0.001578947,0.884210527,0,0.005789474,0,0,0,0,0,0.016315789,0,0.014210527,0,0.001578947,0,0,0,0,0,0.065263163
12502.3P21,0.003157895,0.883684211,0,0,0,0.001052632,0,0,0,0,0.008421053,0.004736842,0.008421053,0,0.002631579,0,0,0,0,0.000526316,0.087368425
12502.0T16,0.984210526,0,0,0,0,0,0,0,0,0,0,0.000526316,0.001052632,0,0.001052632,0,0,0,0,0,0.013157898
12502.0T12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P23,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0
12502.1P11,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6P13,0.996315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368421
12502.2P23,0.984736842,0.015263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P25,0.051052632,0.946315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002631579
12502.0P12,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.1P12,0,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.2P21,0,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.0T24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P24,0.833684211,0.165789474,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T19,0.864210526,0,0.131052632,0.000526316,0.004210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T21,0.998947368,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T15,0.997368421,0.002105263,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T25,0.994736842,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004736843
12502.0P11,0.006842105,0.992631579,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T17,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6T19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P23,0.807368421,0.190526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.0T17,0.998947368,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0T18,0.998947368,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0
12502.0P24,0.82,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T24,0.997368421,0,0,0.001052632,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T13,0.998421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.1P17,0.000526316,0,0,0,0,0,0,0,0,0,0.01,0,0.023157895,0.062105263,0.309473684,0.004210527,0,0,0,0.018421053,0.572105271
12502.2T20,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0
12502.2T16,0.759473684,0.240526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P24,0.881578947,0.117894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.3P22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P20,0.768421053,0.231578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P16,0.988421053,0,0.001578947,0.000526316,0,0,0,0,0.000526316,0,0,0.000526316,0.002631579,0,0.000526316,0,0,0.001578947,0,0,0.003684212
12502.2T24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P25,0.33,0.668947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2P14,0.871052632,0.128421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.0P23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P18,0.997894737,0,0.000526316,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.001052632
12502.3T11,0,0.968947368,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0.027894737,0,0,0.001578948
12502.6T21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6T12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P12,0.398421053,0.601578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P14,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6P19,0.997894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0T19,0.019473684,0,0.980526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T25,0.997894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.6P21,0.943157895,0.056842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T20,0.895263158,0,0,0.001052632,0.096315789,0,0,0,0,0,0,0,0.001052632,0,0.003157895,0,0,0,0,0,0.003157896
12502.1P19,0.998947368,0,0,0.000526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T14,0.005789474,0,0.003157895,0,0.883684211,0,0,0,0.001052632,0,0.005789474,0.00368421,0.006842105,0,0.001052632,0,0,0,0,0,0.088947369
12502.6T13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P12,0.005263158,0.712631579,0.002631579,0,0,0,0,0,0.001052632,0,0.035789474,0.058421052,0.020526316,0,0.002631579,0,0,0,0,0.002631579,0.158421059
12502.6T20,0.997894737,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.001578947
12502.6T07,0.037368421,0.957894737,0.000526316,0,0,0,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0C18,0.994210526,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.004736844
12502.0C16,0.385263158,0.612105263,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.1P09,0.996315789,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0.00263158
12502.0C15,0.12,0.015789474,0.005789474,0,0.026842105,0,0,0,0,0.732631579,0,0,0.009473684,0,0,0,0,0,0,0,0.089473688
12502.3P06,0.995263158,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.003684211
12502.2P09,0.996842105,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.3T06,0.995789474,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.001052632,0,0.001578948
12502.6T06,0.996315789,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316,0,0.002105264
12502.1T04,0.96,0,0.034736842,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0.001052632,0,0.00263158
12502.0T04,0.885263158,0,0.113684211,0,0,0,0,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0
12502.0T10,0.994210526,0,0,0,0.001052632,0,0,0.000526316,0,0.001052632,0,0.000526316,0,0,0,0,0,0,0,0,0.00263158
12502.0H20,0.955263158,0.041052632,0,0,0.001578947,0,0,0.000526316,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0
12502.6P07,0.997894737,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0.000526316
12502.2T09,0.001052632,0,0.994736842,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.003157896
12502.0H19,0.99,0,0.000526316,0,0.000526316,0,0,0.001052632,0,0.001052632,0,0,0.002105263,0,0,0,0,0,0,0,0.004736843
12502.6P02,0.623684211,0.373684211,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0.000526316,0,0,0,0,0,0,0.000526316
12502.3T04,0.986842105,0,0,0,0.001052632,0,0,0.000526316,0,0.006842105,0,0,0,0,0,0,0,0,0,0,0.004736842
12502.3T10,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.0P09,0.993157895,0,0,0,0.000526316,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.00526316
12502.3P04,0.986315789,0,0,0,0.001052632,0,0,0.000526316,0,0.003157895,0,0,0,0,0.000526316,0,0,0,0,0,0.008421055
12502.6T02,0.98,0,0,0,0.000526316,0.000526316,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0,0.013684211,0.001052632,0,0.003157896
12502.3T03,0.995263158,0,0,0,0.000526316,0,0,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.3T02,0.982105263,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.016842105,0,0,0.000526316
12502.0T07,0.522105263,0.473157895,0.000526316,0,0,0,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0,0,0.001052632,0,0.002105264
12502.3P02,0.802631579,0.195789474,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.6P06,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.6T03,0.99631579,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0P04,0.986842105,0,0.002631579,0,0,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0.000526316,0,0.007368423
12502.6P03,0.001578947,0,0.988421053,0,0.001052632,0,0,0,0,0.001052632,0,0,0,0,0.001578947,0,0,0,0,0,0.00631579
12502.1P04,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.3P07,0.995789474,0,0,0,0.001578948,0,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0.001052632
12502.0P10,0.99,0,0,0,0.000526316,0,0,0,0,0.002631579,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0.005789475
12502.1T02,0.995789474,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0.001578948
12502.6T09,0.971052632,0,0.024736842,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0C11,0.948947368,0,0.002105263,0,0.016315789,0,0,0.004210527,0,0,0,0.000526316,0.015263158,0,0,0,0,0,0,0,0.012631579
12502.6P01,0.994736842,0,0,0,0.001052632,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.0C12,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.2T02,0.988947368,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0.007894737,0,0,0.002105264
12502.2P02,0.882631579,0.114210526,0,0,0,0,0,0,0,0.001052632,0,0,0,0.000526316,0,0,0,0,0,0,0.001578948
12502.6T01,0.996842105,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.1P10,0.923157895,0.071578947,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.003684212
12502.0T02,0.983684211,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0.011578947,0,0,0.00263158
12502.2T05,0,0.953684211,0,0,0.001052632,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.044736845
12502.3T09,0.002631579,0.003684211,0.961578947,0,0.007894737,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0.001052632,0.001578948,0,0.018947373
12502.6T08,0.522631579,0.475789474,0,0,0,0,0,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316
12502.3P01,0.862631579,0,0.018421053,0,0.000526316,0,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0.001052632,0,0.115789475
12502.3T01,0.997894737,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T03,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.2T10,0.987894737,0,0.001578947,0,0.000526316,0,0,0,0,0.002105263,0,0,0,0.001052632,0,0,0,0,0.001578947,0,0.005263159
12502.2T04,0.984210526,0,0.009473684,0,0,0,0,0,0,0.002631579,0,0,0.000526316,0,0,0,0,0,0.000526316,0,0.00263158
12502.2P04,0.996315789,0,0,0,0,0,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0P02,0.642105263,0.355263158,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.1T08,0,0.996315789,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.6P09,0.994210526,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0.000526316,0,0.004210528
12502.1T03,0.987368421,0,0.000526316,0,0.000526316,0,0,0,0,0.000526316,0,0.000526316,0.001578947,0,0.001578948,0,0,0,0,0,0.007368423
12502.3P08,0.067368421,0.93,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105263
12502.2P07,0.998421053,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.6T04,0.998421053,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T01,0.992631579,0,0,0,0.001052632,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0.004210527
12502.1P02,0.588421053,0.408421053,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0T08,0,0.996842105,0,0,0,0,0,0.000526316,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.1T10,0.997894737,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2P10,0.881052632,0.111578947,0,0,0.001052632,0,0,0.001052632,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.004210528
12502.6P08,0.410526316,0.585789474,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0.001578947,0,0,0,0,0,0.001052632
12502.6T10,0.996842105,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0.000526316,0,0.000526316
12502.6T05,0.001052632,0.993157895,0,0,0.000526316,0,0,0.001052632,0,0.002105263,0,0,0,0,0,0,0,0,0.000526316,0,0.001578948
12502.2P06,0.991578947,0,0,0,0.000526316,0,0,0,0,0.003157895,0,0,0,0,0,0,0,0,0,0,0.004736843
12502.2T06,0.996842105,0,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.6P05,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
