sample_name,x,timpoint,trx_letter,trx
12502.6P15,1,6,P,1
12502.3T12,1,3,T,3
12502.0T25,1,0,T,3
12502.6T11,2,6,T,3
12502.3P14,3,3,P,1
12502.2P20,1,2,P,1
12502.0T13,1,0,T,3
12502.0P19,1,0,P,1
12502.0P17,2,0,P,1
12502.0T22,1,0,T,3
12502.2P18,1,2,P,1
12502.1T13,1,1,T,3
12502.1T18,1,1,T,3
12502.0P18,1,0,P,1
12502.1T11,4,1,T,3
12502.2T19,1,2,T,3
12502.1T17,1,1,T,3
12502.1T25,1,1,T,3
12502.6T23,1,6,T,3
12502.3P23,3,3,P,1
12502.2P13,1,2,P,1
12502.1T23,2,1,T,3
12502.1T21,1,1,T,3
12502.1T15,2,1,T,3
12502.6P11,1,6,P,1
12502.2T15,1,2,T,3
12502.3T24,1,3,T,3
12502.0T11,4,0,T,3
12502.2T18,1,2,T,3
12502.3P24,3,3,P,1
12502.6P22,1,6,P,1
12502.1P18,1,1,P,1
12502.3P20,1,3,P,1
12502.1P25,4,1,P,1
12502.3T19,1,3,T,3
12502.6T15,3,6,T,3
12502.2P22,1,2,P,1
12502.1P21,4,1,P,1
12502.1P13,1,1,P,1
12502.2T22,5,2,T,3
12502.3P16,1,3,P,1
12502.3T16,1,3,T,3
12502.6P18,1,6,P,1
12502.2T11,4,2,T,3
12502.0T21,1,0,T,3
12502.0P21,4,0,P,1
12502.1T12,1,1,T,3
12502.3T21,1,3,T,3
12502.3P25,2,3,P,1
12502.2P24,3,2,P,1
12502.6P14,1,6,P,1
12502.2P19,1,2,P,1
12502.3P19,1,3,P,1
12502.3T18,1,3,T,3
12502.0T23,3,0,T,3
12502.1T22,1,1,T,3
12502.3T17,1,3,T,3
12502.1T16,3,1,T,3
12502.6T14,2,6,T,3
12502.3P21,4,3,P,1
12502.0T16,1,0,T,3
12502.0T12,1,0,T,3
12502.1P23,1,1,P,1
12502.1P11,1,1,P,1
12502.6P13,1,6,P,1
12502.2P23,1,2,P,1
12502.3T20,1,3,T,3
12502.6P25,4,6,P,1
12502.0P12,1,0,P,1
12502.1P12,4,1,P,1
12502.2P21,4,2,P,1
12502.0T24,1,0,T,3
12502.1P24,3,1,P,1
12502.1T19,1,1,T,3
12502.2T21,1,2,T,3
12502.3T15,1,3,T,3
12502.2T12,1,2,T,3
12502.6T25,1,6,T,3
12502.0P11,4,0,P,1
12502.2T17,1,2,T,3
12502.6T19,1,6,T,3
12502.6P23,3,6,P,1
12502.0T17,1,0,T,3
12502.0T18,1,0,T,3
12502.0P24,3,0,P,1
12502.6T24,1,6,T,3
12502.2T13,1,2,T,3
12502.1P17,2,1,P,1
12502.2T20,1,2,T,3
12502.2T16,3,2,T,3
12502.6P24,3,6,P,1
12502.3P22,1,3,P,1
12502.2P11,1,2,P,1
12502.6P20,3,6,P,1
12502.1T24,1,1,T,3
12502.2P16,1,2,P,1
12502.2T24,1,2,T,3
12502.2P25,2,2,P,1
12502.2P14,3,2,P,1
12502.0P23,1,0,P,1
12502.3P18,1,3,P,1
12502.3T11,4,3,T,3
12502.6T21,1,6,T,3
12502.6T12,1,6,T,3
12502.6P12,2,6,P,1
12502.1P14,1,1,P,1
12502.6P19,1,6,P,1
12502.0T19,2,0,T,3
12502.2T25,1,2,T,3
12502.6P21,3,6,P,1
12502.1T20,1,1,T,3
12502.1P19,1,1,P,1
12502.1T14,2,1,T,3
12502.6T13,1,6,T,3
12502.2P12,4,2,P,1
12502.6T20,1,6,T,3
12502.3H12,5,3,H,4
12502.6T07,4,6,T,3
12502.0C18,1,0,C,2
12502.0C16,2,0,C,2
12502.1P09,1,1,P,1
12502.0C15,6,0,C,2
12502.2C19,6,2,C,2
12502.3P06,1,3,P,1
12502.6C18,5,6,C,2
12502.2P09,1,2,P,1
12502.3T06,1,3,T,3
12502.3C16,5,3,C,2
12502.1H20,5,1,H,4
12502.6T06,1,6,T,3
12502.3H14,5,3,H,4
12502.1T04,1,1,T,3
12502.1C19,6,1,C,2
12502.6H11,5,6,H,4
12502.3H13,6,3,H,4
12502.6C14,5,6,C,2
12502.0T04,1,0,T,3
12502.0T10,1,0,T,3
12502.0H20,1,0,H,4
12502.6C19,6,6,C,2
12502.6P07,1,6,P,1
12502.3C17,5,3,C,2
12502.6H19,5,6,H,4
12502.2T09,2,2,T,3
12502.1H19,6,1,H,4
12502.0H19,1,0,H,4
12502.6P02,2,6,P,1
12502.1C14,6,1,C,2
12502.3H18,3,3,H,4
12502.3T04,1,3,T,3
12502.3T10,1,3,T,3
12502.0P09,1,0,P,1
12502.6H15,6,6,H,4
12502.3P04,1,3,P,1
12502.1C20,6,1,C,2
12502.6T02,1,6,T,3
12502.2C16,2,2,C,2
12502.3T03,1,3,T,3
12502.2C12,3,2,C,2
12502.3C12,5,3,C,2
12502.3H20,6,3,H,4
12502.3T02,1,3,T,3
12502.2C14,6,2,C,2
12502.0T07,2,0,T,3
12502.2H12,3,2,H,4
12502.2H16,5,2,H,4
12502.6H18,3,6,H,4
12502.3P02,3,3,P,1
12502.6P06,1,6,P,1
12502.6T03,1,6,T,3
12502.6H14,3,6,H,4
12502.3C13,6,3,C,2
12502.0P04,1,0,P,1
12502.6P03,2,6,P,1
12502.3C14,6,3,C,2
12502.1P04,1,1,P,1
12502.3H19,6,3,H,4
12502.3P07,1,3,P,1
12502.1H14,6,1,H,4
12502.3H16,3,3,H,4
12502.0P10,1,0,P,1
12502.1T02,1,1,T,3
12502.6T09,1,6,T,3
12502.0C11,1,0,C,2
12502.1C15,6,1,C,2
12502.1H11,6,1,H,4
12502.6P01,1,6,P,1
12502.0C12,1,0,C,2
12502.1H18,6,1,H,4
12502.1H13,6,1,H,4
12502.2T02,1,2,T,3
12502.6C13,6,6,C,2
12502.2P02,3,2,P,1
12502.6C20,5,6,C,2
12502.1H17,6,1,H,4
12502.6T01,1,6,T,3
12502.2H15,6,2,H,4
12502.1P10,3,1,P,1
12502.2C11,5,2,C,2
12502.2C13,6,2,C,2
12502.0T02,1,0,T,3
12502.6C16,6,6,C,2
12502.2C17,5,2,C,2
12502.2H19,6,2,H,4
12502.2T05,4,2,T,3
12502.1C17,6,1,C,2
12502.3T09,2,3,T,3
12502.6T08,2,6,T,3
12502.1H15,6,1,H,4
12502.1C11,6,1,C,2
12502.1C13,6,1,C,2
12502.1C18,6,1,C,2
12502.2H17,6,2,H,4
12502.3P01,1,3,P,1
12502.2H20,6,2,H,4
12502.2C15,6,2,C,2
12502.3T01,1,3,T,3
12502.2H11,3,2,H,4
12502.2H13,6,2,H,4
12502.3H15,6,3,H,4
12502.2T03,1,2,T,3
12502.2T10,1,2,T,3
12502.2T04,1,2,T,3
12502.2H18,5,2,H,4
12502.6C17,5,6,C,2
12502.2P04,1,2,P,1
12502.3C19,6,3,C,2
12502.0P02,2,0,P,1
12502.6H17,6,6,H,4
12502.1T08,4,1,T,3
12502.6P09,1,6,P,1
12502.1T03,1,1,T,3
12502.3P08,4,3,P,1
12502.2P07,1,2,P,1
12502.3H11,3,3,H,4
12502.6T04,1,6,T,3
12502.1H12,5,1,H,4
12502.2T01,1,2,T,3
12502.1C16,5,1,C,2
12502.1P02,2,1,P,1
12502.0T08,4,0,T,3
12502.2C18,5,2,C,2
12502.1T10,1,1,T,3
12502.2P10,3,2,P,1
12502.6P08,2,6,P,1
12502.6H16,5,6,H,4
12502.1C12,3,1,C,2
12502.3C20,6,3,C,2
12502.6T10,1,6,T,3
12502.1H16,6,1,H,4
12502.6H20,6,6,H,4
12502.6T05,4,6,T,3
12502.6H12,6,6,H,4
12502.2P06,1,2,P,1
12502.3C15,6,3,C,2
12502.2T06,1,2,T,3
12502.6P05,1,6,P,1
12502.1T05,4,1,T,3
12502.0T05,4,0,T,3
12502.3P09,1,3,P,1
12502.3H17,6,3,H,4
12502.6H4,6,6,H,4
12502.0C10,3,0,C,2
12502.1H4,5,1,H,4
12502.0C7,1,0,C,2
12502.6C8,5,6,C,2
12502.6H3,2,6,H,4
12502.0H9,1,0,H,4
12502.2H4,3,2,H,4
12502.3C2,3,3,C,2
12502.0H4,1,0,H,4
12502.1H2,3,1,H,4
12502.6H10,6,6,H,4
12502.1H6,5,1,H,4
12502.2H2,5,2,H,4
12502.2H6,2,2,H,4
12502.6C3,5,6,C,2
12502.1C8,6,1,C,2
12502.2C8,5,2,C,2
12502.2C7,3,2,C,2
12502.0C2,1,0,C,2
12502.3C7,3,3,C,2
12502.3C1,3,3,C,2
12502.6H6,5,6,H,4
12502.3H10,3,3,H,4
12502.6H1,5,6,H,4
12502.3C5,3,3,C,2
12502.6C5,5,6,C,2
12502.3H6,5,3,H,4
12502.2H9,3,2,H,4
12502.1C6,3,1,C,2
12502.1C2,3,1,C,2
12502.3H3,6,3,H,4
12502.6H9,5,6,H,4
12502.3C6,5,3,C,2
12502.1H9,5,1,H,4
12502.2H1,3,2,H,4
12502.1C4,6,1,C,2
12502.2C3,5,2,C,2
12502.2H5,5,2,H,4
12502.1C10,3,1,C,2
12502.6C1,3,6,C,2
12502.3H2,6,3,H,4
12502.6C10,6,6,C,2
12502.2H8,3,2,H,4
12502.6H2,5,6,H,4
12502.6H5,5,6,H,4
12502.3C10,5,3,C,2
12502.2H7,6,2,H,4
12502.0H2,1,0,H,4
12502.1C3,6,1,C,2
12502.1C1,5,1,C,2
12502.1C7,3,1,C,2
12502.6C6,6,6,C,2
12502.1H10,3,1,H,4
12502.3H1,5,3,H,4
12502.0C6,1,0,C,2
12502.1C5,3,1,C,2
12502.6C7,3,6,C,2
12502.0C5,1,0,C,2
12502.1H8,5,1,H,4
12502.6C9,5,6,C,2
12502.2C2,3,2,C,2
12502.2C6,3,2,C,2
12502.6C2,1,6,C,2
12502.0H6,4,0,H,4
12502.3C9,5,3,C,2
12502.0H7,4,0,H,4
12502.2H10,3,2,H,4
12502.6H8,5,6,H,4
12502.0H1,1,0,H,4
12502.0H3,3,0,H,4
12502.0H8,2,0,H,4
12502.3C3,3,3,C,2
12502.3H8,3,3,H,4
12502.1H5,6,1,H,4
12502.0H10,1,0,H,4
12502.0C9,1,0,C,2
12502.3H5,3,3,H,4
12502.3C8,3,3,C,2
12502.2C9,3,2,C,2
12502.1H7,5,1,H,4
12502.1H1,3,1,H,4
12502.1H3,5,1,H,4
12502.2C1,3,2,C,2
12502.3H9,3,3,H,4
12502.2H3,5,2,H,4
12502.2C5,3,2,C,2
12502.3H4,3,3,H,4
12502.2C10,3,2,C,2
12502.1C9,3,1,C,2